Words,Definition Box,Spell Check,Did You Mean: 
dilapidating,0,0,0
sweetshop,0,0,0
grasping,0,0,0
ultrafast,0,0,0
bizet,0,0,0
exceptionality,0,0,0
asiatic's,0,0,0
hoofprints,0,0,0
peacocks,0,0,0
tare,0,0,0
masturbatory,1,0,0
hucksterise,0,0,0
lenticulation,0,0,0
mesocephalic,0,0,0
attenuate,0,0,0
exaltation,0,0,0
experimentalize,0,0,0
enricher,0,0,0
solaced,0,0,0
suppository,0,0,0
encrypting,0,0,0
ratatouille,0,1,1
spermous,0,0,0
preheat,0,0,0
iridectomy,0,0,0
thanks,0,0,0
determinativeness,0,0,0
midlandizes,0,0,0
ballads,0,0,0
thisbe,0,0,0
paramountcy,0,0,0
desensitisation,0,0,0
translucence,0,0,0
woodbury,0,0,0
phenolisation's,0,0,0
expressway,0,0,0
installant,0,0,0
carburetter,0,0,0
tropicalise,0,0,0
lebowa,0,0,0
bivalve,0,0,0
hinging,0,0,0
discourteousness,1,1,1
simplexes,0,0,0
pneumatolytic,0,0,0
zonally,0,0,0
municipality's,0,0,0
reticulose,0,0,1
palstave,0,0,0
mennonites,0,0,0
atahualpa,0,0,0
sinlessness,0,0,0
swimmers,0,0,0
alcohols,0,0,0
protestantizes,0,0,0
daphnia,0,0,0
kittenishly,0,0,0
indetermine,0,0,0
gladded,0,0,0
hypnotisations,0,0,0
urinant,0,0,0
stills,0,0,0
superusers,0,0,0
blundered,0,0,0
medializations,0,0,0
similarize,0,1,1
hoist,0,0,0
vapidness,0,0,0
depolymerising,0,0,0
unhitched,0,0,0
pogromist,0,0,0
sewing,0,0,0
pestilently,0,0,0
grodno,0,0,0
arrestment,0,0,0
overwhelmingly,0,0,0
behaviorally,0,0,0
dependence,0,0,0
untantalising's,0,0,0
superacknowledgments,0,0,0
psychoses,0,0,0
familiarity,0,0,0
demographical,0,0,0
bessemer,0,0,0
abbe,0,0,0
pearl,0,0,0
youngly,0,0,0
pedal,0,0,0
mentally,0,0,0
attica,0,0,0
catalytically,0,0,0
setters,0,0,0
dragoon,0,0,0
decolletages,0,0,0
hygroscope,0,0,0
newsmagazine,0,0,0
aberrance,0,0,0
equestrianize,0,0,0
castles,0,0,0
makebate,0,0,0
